Voltage (V),Current (A)
18.0084,0.0118
18.1513,0.0111
18.1653,0.0104
18.1864,0.0119
18.2648,0.0114
18.2973,0.0126
18.4375,0.0121
18.4939,0.012
18.5664,0.012
18.594,0.0116
18.7231,0.0129
18.7346,0.0124
18.79,0.0132
18.8092,0.0111
18.8582,0.0122
18.9777,0.0114
19.0143,0.0118
19.0786,0.013
19.2489,0.0131
19.2724,0.0122
19.3126,0.0133
19.3331,0.013
19.3917,0.0133
19.3982,0.0129
19.4356,0.0127
19.4602,0.0121
19.713,0.0128
19.7377,0.0123
19.8011,0.0121
