v1 (m/s),v2 (m/s),vf (m/s)
-7.799,-0.1116,-4.3824
-5.4413,-8.8488,-6.9558
-1.4578,0.9906,-0.3697
6.3603,-1.1694,3.0138
7.2146,7.7541,7.4544
-9.861,-2.9817,-6.8035
0.2149,-7.6587,-3.2844
-1.6518,-7.1402,-4.0911
-5.5578,5.2302,-0.7632
-7.6027,2.3644,-3.1729
-3.2477,-7.9775,-5.3499
8.8582,-8.3179,1.2244
-3.5359,4.0194,-0.178
0.3758,-8.5447,-3.5889
4.0604,6.4372,5.1167
-2.7274,4.1248,0.318
9.4356,-8.373,1.5207
9.2489,-8.3032,1.448
-4.9644,9.7328,1.5677
-0.055,-2.5146,-1.1482
-3.9824,-2.5872,-3.3623
-4.3032,6.256,0.3898
-9.2623,8.945,-1.1702
2.1913,9.72,5.5374
0.0536,5.0676,2.282
-8.9704,-2.4748,-6.0835
-4.4271,-8.33,-6.1617
8.1653,5.5429,6.9998
-5.2088,1.1681,-2.3746
-7.1021,-1.5156,-4.6192
-0.2109,8.1271,3.4948
9.713,-7.7761,1.9401
-5.1589,-0.1475,-2.9316
3.4427,-9.7729,-2.4309
5.2324,-0.6268,2.6283
-5.2472,-8.8739,-6.8591
4.5643,-7.6236,-0.8525
-2.6443,-7.6495,-4.8688
2.6461,2.9842,2.7964
2.6706,4.9209,3.6707
0.7155,1.6674,1.1386
-8.1942,9.2435,-0.4441
6.706,-2.5026,2.6133
-3.5844,-4.2858,-3.8961
-6.2696,7.372,-0.2067
-9.1845,-5.5281,-7.5594
1.8179,9.2645,5.1275
3.5513,-9.7569,-2.3635
-9.6682,9.3976,-1.1945
0.2419,-9.1368,-3.9264
-5.4701,7.8229,0.4379
2.9035,0.554,1.8593
-6.5127,9.8593,0.7638
3.8188,-8.5241,-1.6669
-2.2653,1.0771,-0.7798
8.7346,9.3861,9.0241
-7.2496,0.462,-3.8222
-3.1787,2.588,-0.6157
-7.7305,3.915,-2.5548
8.4939,-0.9092,4.3147
7.5468,2.5512,5.3265
-4.8412,1.6863,-1.9401
3.1997,8.0232,5.3434
6.3444,-9.0911,-0.5158
1.104,-4.3807,-1.3337
0.593,9.0082,4.3331
-5.163,7.8053,0.6007
-8.1379,-0.8869,-4.9152
7.9443,2.4027,5.4814
8.0084,-4.4524,2.4703
2.662,-6.2376,-1.2934
-3.2194,-0.726,-2.1112
-3.0158,-2.933,-2.979
4.5191,1.6731,3.2542
7.9422,-8.4453,0.6589
7.7417,9.4879,8.5178
5.5975,9.7242,7.4316
2.8406,3.9632,3.3396
-8.3172,0.7219,-4.2998
-6.7674,-3.8094,-5.4528
7.9711,6.2759,7.2177
2.1286,3.6946,2.8246
-9.8161,-6.7477,-8.4523
-7.9706,8.2185,-0.7754
3.27,6.4507,4.6837
-9.8988,8.996,-1.5011
-6.7838,4.5144,-1.7624
0.9747,2.2683,1.5496
3.8379,-1.6351,1.4054
3.0392,8.6546,5.5349
-5.5146,7.3213,0.1902
4.2436,-9.0956,-1.685
-5.255,-9.4727,-7.1295
-3.492,-2.4707,-3.0381
4.9298,6.2111,5.4993
2.9927,9.7455,5.9939
6.9845,-6.9917,0.7729
3.1523,1.8826,2.588
1.3662,-2.3822,-0.2998
-8.1265,9.3983,-0.3377
-2.6457,6.8424,1.5712
-4.696,6.7666,0.3985
-5.1202,-0.6261,-3.1228
9.4602,-1.7036,4.4985
-2.138,-4.5319,-3.202
7.8409,-8.8725,0.4127
2.6228,7.2944,4.6991
5.8962,6.258,6.057
0.0527,9.9944,4.4712
1.5381,9.9327,5.269
-0.1496,1.1086,0.4096
-6.0951,5.3797,-0.9952
4.449,8.8953,6.4252
-4.3846,6.9929,0.6721
-9.5137,-5.053,-7.5312
2.9094,-0.9891,1.1768
-6.4578,-7.4168,-6.884
8.8092,9.081,8.93
9.0786,2.1235,5.9874
8.2973,-5.4271,2.1975
-2.5968,3.434,0.0835
-9.6909,2.3626,-4.3338
8.5664,-2.8367,3.4983
-1.4363,-7.7288,-4.233
9.3331,3.4315,6.7101
9.2724,0.4062,5.3318
7.0602,5.4464,6.3429
-4.111,0.4033,-2.1047
-2.298,7.0436,1.8538
7.0227,1.0381,4.3629
-3.6616,1.2188,-1.4925
-6.6101,7.5331,-0.3243
1.136,-1.9303,-0.2268
8.7231,-7.3197,1.593
3.9206,-9.4243,-2.0105
1.4012,5.1027,3.0463
-8.0565,2.4062,-3.4064
2.3001,4.0816,3.0919
9.8011,-5.7407,2.8936
-7.1983,-7.2726,-7.2313
0.3666,-9.7091,-4.1115
7.5475,-2.9882,2.8649
4.8154,1.7984,3.4745
3.9403,-2.1551,1.2312
4.0497,-1.2505,1.694
-2.8102,8.0832,2.0313
-4.1282,-3.0349,-3.6423
6.1872,0.2798,3.5617
6.2023,5.6731,5.9671
7.3414,-2.0691,3.159
8.2648,2.4417,5.6768
0.2268,7.2473,3.347
0.0303,8.9904,4.0126
5.9659,-7.0585,0.1773
2.9993,8.5318,5.4582
4.0393,-0.1577,2.174
5.9159,-4.8351,1.1376
7.8001,-0.8173,3.9702
-3.2401,9.6007,2.4669
-2.4883,-0.1476,-1.448
-8.1204,-3.425,-6.0335
1.5656,2.668,2.0556
-9.2812,-5.1971,-7.466
-0.688,-8.4827,-4.1523
0.8529,-7.4224,-2.825
-4.2692,-7.4391,-5.678
1.8167,-6.9619,-2.0849
-9.39,-7.2235,-8.4271
-9.253,2.8175,-3.8884
6.452,-6.3624,0.7567
-2.7962,-3.0867,-2.9253
-7.4588,7.9358,-0.6168
0.4449,-0.5208,0.0157
5.3999,3.3512,4.4893
-5.6836,-6.5536,-6.0703
2.4578,-6.1542,-1.3698
-8.2931,-9.1826,-8.6884
