v1x (m/s),v1y (m/s),v2x (m/s),v2y (m/s),vfx (m/s),vfy (m/s)
-5.2472,-8.8739,7.8779,-0.4025,0.0028,-5.4854
4.5643,-7.6236,5.7719,2.5501,5.0474,-3.5541
-2.6443,-7.6495,-6.9665,7.4735,-4.3732,-1.6003
2.6461,2.9842,-3.7656,9.6817,0.0814,5.6632
2.6706,4.9209,-5.0302,5.3655,-0.4097,5.0987
0.7155,1.6674,4.8789,-1.6447,2.3809,0.3426
-8.1942,9.2435,-9.3294,-1.5729,-8.6483,4.9169
6.706,-2.5026,1.3978,4.7516,4.5827,0.3991
-3.5844,-4.2858,5.2492,-5.2245,-0.051,-4.6612
-6.2696,7.372,7.5353,-7.7905,-0.7477,1.307
-9.1845,-5.5281,-3.1584,-2.9076,-6.774,-4.4799
1.8179,9.2645,6.4251,-4.2552,3.6608,3.8566
3.5513,-9.7569,-7.7874,-4.0738,-0.9842,-7.4837
-9.6682,9.3976,6.929,-5.3278,-3.0293,3.5074
0.2419,-9.1368,-7.4502,-9.1581,-2.835,-9.1453
-5.4701,7.8229,-2.0543,-9.6425,-4.1038,0.8367
2.9035,0.554,5.9459,9.7544,4.1204,4.2342
-6.5127,9.8593,-7.0017,-1.4445,-6.7083,5.3378
3.8188,-8.5241,-5.415,-2.3135,0.1253,-6.0398
-2.2653,1.0771,4.4451,3.5929,0.4188,2.0834
8.7346,9.3861,4.4007,-5.6349,7.0011,3.3777
-7.2496,0.462,2.823,8.9992,-3.2206,3.8769
-3.1787,2.588,3.879,5.7269,-0.3556,3.8435
-7.7305,3.915,0.8545,-8.2118,-4.2965,-0.9357
8.4939,-0.9092,-4.964,-1.6484,3.1107,-1.2049
7.5468,2.5512,-3.0861,7.5824,3.2936,4.5636
-4.8412,1.6863,-6.368,8.8946,-5.4519,4.5696
3.1997,8.0232,8.169,-0.652,5.1874,4.5531
6.3444,-9.0911,1.6678,2.2682,4.4738,-4.5474
1.104,-4.3807,-1.983,-6.6593,-0.1308,-5.2922
0.593,9.0082,-0.7599,9.8234,0.0519,9.3343
-5.163,7.8053,8.9457,-5.3666,0.4805,2.5365
-8.1379,-0.8869,-6.933,8.8546,-7.656,3.0097
7.9443,2.4027,1.7246,2.9929,5.4564,2.6388
8.0084,-4.4524,0.1178,2.1547,4.8521,-1.8095
2.662,-6.2376,2.2291,0.2538,2.4889,-3.641
-3.2194,-0.726,-9.6378,-5.3866,-5.7868,-2.5903
-3.0158,-2.933,7.4425,-6.4694,1.1675,-4.3475
4.5191,1.6731,8.6424,-5.5903,6.1684,-1.2322
7.9422,-8.4453,1.3027,-6.2712,5.2864,-7.5757
7.7417,9.4879,3.933,5.5917,6.2182,7.9294
5.5975,9.7242,8.45,-2.9975,6.7385,4.6355
2.8406,3.9632,4.1448,-8.8431,3.3623,-1.1593
-8.3172,0.7219,-6.9492,9.3821,-7.77,4.186
-6.7674,-3.8094,1.5258,7.6757,-3.4501,0.7846
7.9711,6.2759,2.1343,8.555,5.6364,7.1876
2.1286,3.6946,-1.5174,9.8982,0.6702,6.176
-9.8161,-6.7477,4.7289,-6.5221,-3.9981,-6.6574
-7.9706,8.2185,8.6873,-2.0752,-1.3074,4.1011
3.27,6.4507,8.5114,5.1648,5.3666,5.9364
-9.8988,8.996,-0.9832,3.9204,-6.3325,6.9658
-6.7838,4.5144,-7.7352,-6.9221,-7.1644,-0.0602
0.9747,2.2683,9.6968,6.3167,4.4635,3.8876
3.8379,-1.6351,6.778,-5.5112,5.0139,-3.1856
3.0392,8.6546,-7.5067,-5.5236,-1.1792,2.9833
-5.5146,7.3213,8.4168,0.7395,0.058,4.6886
4.2436,-9.0956,7.3979,1.8588,5.5053,-4.7139
-5.255,-9.4727,0.3768,1.6017,-3.0023,-5.0429
-3.492,-2.4707,1.8255,-8.1703,-1.365,-4.7505
4.9298,6.2111,-2.0199,7.5492,2.1499,6.7463
2.9927,9.7455,-8.9048,-4.688,-1.7663,3.9721
6.9845,-6.9917,-3.2961,-7.4097,2.8723,-7.1589
3.1523,1.8826,6.0571,7.775,4.3142,4.2396
1.3662,-2.3822,-9.9074,9.113,-3.1432,2.2159
-8.1265,9.3983,-3.33,7.2426,-6.2079,8.536
-2.6457,6.8424,-2.0366,6.1903,-2.4021,6.5816
-4.696,6.7666,0.7479,3.1048,-2.5184,5.3019
-5.1202,-0.6261,8.3971,1.0171,0.2867,0.0312
9.4602,-1.7036,-3.0731,-8.2603,4.4469,-4.3263
-2.138,-4.5319,-3.0609,-1.8309,-2.5072,-3.4515
7.8409,-8.8725,4.75,-2.5462,6.6046,-6.342
2.6228,7.2944,-0.9556,-4.8049,1.1914,2.4547
5.8962,6.258,-5.5079,4.4684,1.3346,5.5422
0.0527,9.9944,-0.9512,-0.0825,-0.3488,5.9636
1.5381,9.9327,-7.1829,-8.3791,-1.9503,2.608
-0.1496,1.1086,-6.4723,-5.5963,-2.6787,-1.5734
-6.0951,5.3797,-0.0326,3.6652,-3.6701,4.6939
4.449,8.8953,-1.6215,-8.4774,2.0208,1.9462
-4.3846,6.9929,8.2969,7.0241,0.688,7.0054
-9.5137,-5.053,-2.7521,-0.0971,-6.8091,-3.0707
2.9094,-0.9891,1.6118,-0.3883,2.3904,-0.7488
-6.4578,-7.4168,2.6453,1.8482,-2.8166,-3.7108
8.8092,9.081,-9.7381,6.4936,1.3903,8.0461
9.0786,2.1235,3.2707,-3.0438,6.7554,0.0566
8.2973,-5.4271,-6.4393,3.5603,2.4027,-1.8322
-2.5968,3.434,9.2214,1.3146,2.1305,2.5863
-9.6909,2.3626,-7.0267,-4.6594,-8.6252,-0.4462
8.5664,-2.8367,-1.7075,7.5726,4.4568,1.327
-1.4363,-7.7288,-8.293,5.9485,-4.179,-2.2579
9.3331,3.4315,9.9375,3.169,9.5749,3.3265
9.2724,0.4062,0.0439,7.0116,5.581,3.0483
7.0602,5.4464,1.9077,7.3459,4.9992,6.2062
-4.111,0.4033,-8.6585,4.1673,-5.93,1.9089
-2.298,7.0436,4.9992,6.7403,0.6209,6.9223
7.0227,1.0381,-5.8019,3.9494,1.8929,2.2027
-3.6616,1.2188,7.9611,3.6028,0.9875,2.1724
-6.6101,7.5331,-5.8972,2.3722,-6.325,5.4687
1.136,-1.9303,-6.1862,5.0543,-1.7929,0.8635
8.7231,-7.3197,-9.269,-6.8279,1.5263,-7.123
3.9206,-9.4243,-0.5587,7.6174,2.1289,-2.6076
1.4012,5.1027,1.2968,7.4369,1.3595,6.0364
-8.0565,2.4062,-8.6858,-9.4151,-8.3082,-2.3223
2.3001,4.0816,5.5106,6.5163,3.5843,5.0555
9.8011,-5.7407,-0.9342,-7.4226,5.507,-6.4135
-7.1983,-7.2726,0.4878,-3.2976,-4.1239,-5.6826
0.3666,-9.7091,-1.1847,4.8702,-0.2539,-3.8774
7.5475,-2.9882,-1.9847,-6.7848,3.7346,-4.5069
4.8154,1.7984,1.1928,6.3593,3.3663,3.6227
3.9403,-2.1551,-6.8952,6.6427,-0.3939,1.364
4.0497,-1.2505,-6.3614,0.1494,-0.1148,-0.6906
-2.8102,8.0832,7.2357,-9.8723,1.2082,0.901
-4.1282,-3.0349,8.9223,-4.2592,1.092,-3.5246
6.1872,0.2798,-2.5338,2.3385,2.6988,1.1033
6.2023,5.6731,-4.5851,9.6237,1.8873,7.2533
7.3414,-2.0691,2.88,2.6363,5.5569,-0.187
8.2648,2.4417,-1.8253,-4.8039,4.2288,-0.4565
0.2268,7.2473,-9.4923,2.6801,-3.6608,5.4204
0.0303,8.9904,-6.8769,0.7997,-2.7326,5.7141
5.9659,-7.0585,4.3194,5.5969,5.3073,-1.9964
2.9993,8.5318,3.1785,-7.8604,3.071,1.9749
4.0393,-0.1577,-9.4581,5.2206,-1.3596,1.9936
5.9159,-4.8351,-5.5606,0.8253,1.3253,-2.5709
7.8001,-0.8173,-5.3785,9.2598,2.5287,3.2136
-3.2401,9.6007,3.4379,-3.1626,-0.5689,4.4954
-2.4883,-0.1476,-9.6058,2.6524,-5.3353,0.9724
-8.1204,-3.425,-7.9178,8.6406,-8.0393,1.4012
1.5656,2.668,5.9983,-7.9498,3.3387,-1.5791
-9.2812,-5.1971,-6.4291,8.7446,-8.1403,0.3796
-0.688,-8.4827,3.0549,3.7577,0.8091,-3.5866
0.8529,-7.4224,-5.2363,-8.6433,-1.5828,-7.9107
-4.2692,-7.4391,-8.0112,-3.9807,-5.766,-6.0557
1.8167,-6.9619,-5.1366,4.1634,-0.9646,-2.5118
-9.39,-7.2235,4.4453,-8.653,-3.8559,-7.7953
-9.253,2.8175,7.1139,1.6434,-2.7062,2.3479
6.452,-6.3624,6.6044,-3.0823,6.513,-5.0504
-2.7962,-3.0867,-2.0563,2.4183,-2.5002,-0.8847
-7.4588,7.9358,3.3617,-9.0852,-3.1306,1.1274
0.4449,-0.5208,-5.9003,7.4307,-2.0932,2.6598
5.3999,3.3512,-4.137,9.4698,1.5851,5.7986
-5.6836,-6.5536,7.9267,9.3776,-0.2395,-0.1811
2.4578,-6.1542,-9.74,4.993,-2.4213,-1.6953
-8.2931,-9.1826,-8.2898,-7.3983,-8.2918,-8.4689
