Time (s),Speed (m/s),Position (m)
2.089,20.6138,-21.2835
2.0909,22.0843,-19.8724
2.099,21.6156,-20.5869
2.1186,26.0432,-16.7563
2.1431,19.8125,-23.7393
2.1574,24.998,-18.9948
2.1706,23.258,-21.1448
2.1708,22.099,-22.3103
2.1868,21.7519,-23.158
2.1949,16.0662,-29.0972
2.2208,21.9667,-24.0107
2.2272,18.9475,-27.2324
2.2451,18.7412,-28.007
2.2732,23.6804,-23.967
2.2802,22.3473,-25.5255
2.3076,22.3255,-26.4317
2.3131,24.0871,-24.8489
2.3633,24.7307,-25.8497
2.3636,21.4806,-29.1076
2.3697,20.6013,-30.188
2.3916,23.0245,-28.4925
2.3946,25.3193,-26.2987
2.4045,21.2931,-30.6525
2.4257,28.5532,-24.1045
2.4302,14.3554,-38.4525
2.4383,30.3484,-22.7316
2.4474,30.2629,-23.1263
2.46,24.3621,-29.4546
2.4916,26.3579,-28.534
2.4932,26.9002,-28.0475
2.5246,24.8731,-31.1542
2.5292,30.3886,-25.8002
2.5324,29.0157,-27.2834
2.5336,20.4376,-35.9033
2.5341,28.4581,-27.9003
2.5456,22.8974,-33.8612
2.5502,24.6182,-32.3001
2.5681,24.3604,-33.1828
2.5807,21.9997,-35.9841
2.5819,24.4734,-33.5524
2.5985,25.2955,-33.3164
2.5999,22.9039,-35.7549
2.6078,21.4877,-37.4535
2.6305,22.6834,-37.0604
2.6399,26.2654,-33.8166
2.6501,24.0826,-36.3624
2.654,25.8583,-34.7271
2.6885,29.4504,-32.3788
2.7103,26.6047,-36.0125
2.7369,31.5973,-31.9943
2.7638,27.5126,-37.0658
2.7676,26.8531,-37.8667
2.7841,30.2665,-35.0659
2.7881,24.4126,-41.0663
2.8079,28.4592,-37.7576
2.8099,22.889,-43.4051
2.8121,24.9702,-41.4039
2.8274,32.0849,-34.8645
2.8323,27.3937,-39.7384
2.8487,29.2028,-38.5481
2.853,35.1721,-32.7398
2.8898,30.9835,-38.3272
2.9038,32.1853,-37.6611
2.9129,30.2996,-39.8935
2.916,26.5303,-43.7843
2.9184,29.7683,-40.6384
2.928,36.2778,-34.4964
2.9631,28.3891,-43.7437
2.986,25.4864,-47.5389
3.0222,27.5978,-46.851
3.0431,26.1694,-49.1075
3.0465,27.7712,-47.6383
3.08,31.1771,-45.5675
3.0839,34.5501,-42.3504
3.0851,32.2955,-44.6536
3.089,33.0804,-44.025
3.1005,25.7984,-51.771
3.1195,22.9483,-55.3861
3.1407,28.1361,-51.0572
3.1792,28.5119,-52.2543
3.1832,31.0345,-49.8927
3.1932,31.5115,-49.8269
3.2088,33.9089,-48.0727
3.2147,28.7574,-53.468
3.2298,35.0166,-47.8332
3.2325,32.6131,-50.3496
3.2336,26.1578,-56.8509
3.2374,26.312,-56.8569
3.2405,33.9836,-49.3104
3.2618,32.4591,-51.727
3.2689,36.7056,-47.7753
3.2721,33.3693,-51.2444
3.2904,29.2575,-56.1265
3.315,33.9434,-52.4768
3.3298,27.857,-59.1916
3.3412,38.2191,-49.316
3.3969,37.2265,-52.6953
3.4045,30.301,-59.9512
3.412,29.5501,-61.026
3.4429,30.3491,-61.5685
3.4524,37.296,-55.0356
3.4647,37.5414,-55.3279
3.4683,31.3095,-61.7168
3.4858,28.2946,-65.5026
3.5094,31.2673,-63.5675
3.5095,30.0495,-64.7912
3.5483,29.7591,-66.8078
3.5489,35.2283,-61.3612
3.56,33.9006,-63.1879
3.5682,43.4362,-54.018
3.5702,36.3591,-61.1869
3.5793,26.709,-71.2443
3.5844,34.4731,-63.7074
3.5884,27.6117,-70.7522
3.5889,39.4007,-58.9822
3.5942,35.5796,-63.0444
3.6017,38.1282,-60.8321
3.6303,32.0085,-68.2465
3.6331,26.3596,-74.0226
3.6373,37.7033,-62.8707
3.653,33.6953,-67.5932
3.6595,43.1394,-58.4459
3.6875,38.7835,-64.0872
3.6988,37.7633,-65.6267
3.7133,37.8172,-66.2421
3.7188,34.3746,-69.94
3.7446,44.3328,-61.1806
3.7469,39.964,-65.6565
3.758,46.5064,-59.6306
3.7618,30.0486,-76.2676
3.7716,38.0163,-68.7584
3.7955,31.5386,-76.3578
3.8029,34.326,-73.9148
3.8157,43.7045,-65.1428
3.8498,44.4849,-65.978
3.8545,37.2195,-73.4666
3.8625,45.474,-65.5957
3.8666,43.1375,-68.1274
3.8783,45.4437,-66.3814
3.8796,42.0985,-69.7889
3.8871,40.4606,-71.7855
3.892,35.5896,-76.8922
3.9426,40.2972,-74.6235
3.9475,36.0662,-79.0945
3.9602,34.7481,-81.0283
